Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,Source
Aaron Rodgers,GB,QB,16,4351.6,36.3,11,352,2.2,0,0,0,0,0,0,0,ESPN
Tom Brady,NE,QB,16,5176.6,35.2,9.9,39.6,1.1,0,0,0,0,0,0,0,ESPN
Russell Wilson,SEA,QB,16,4215.2,28.6,15.4,561,3.3,0,0,0,0,0,0,0,ESPN
Carson Wentz,PHI,QB,16,4475.9,33,13.2,314.6,1.1,0,0,0,0,0,0,0,ESPN
Deshaun Watson,HOU,QB,16,4199.8,28.6,19.8,526.9,4.4,0,0,0,0,0,0,0,ESPN
Cam Newton,CAR,QB,16,3916,25.3,17.6,661.1,4.4,0,0,0,0,0,0,0,ESPN
Todd Gurley,LAR,RB,16,0,0,0,1487.2,12.1,70.4,727.1,4.4,0,0,0,0,ESPN
Alex Smith,WAS,QB,16,4627.7,26.4,9.9,294.8,2.2,0,0,0,0,0,0,0,ESPN
Drew Brees,NO,QB,16,4896.1,29.7,13.2,37.4,2.2,0,0,0,0,0,0,0,ESPN
Kirk Cousins,MIN,QB,16,4556.2,27.5,14.3,185.9,3.3,0,0,0,0,0,0,0,ESPN
Andrew Luck,IND,QB,16,4350.5,27.5,15.4,344.3,2.2,0,0,0,0,0,0,0,ESPN
Matthew Stafford,DET,QB,16,4747.6,28.6,13.2,137.5,1.1,0,0,0,0,0,0,0,ESPN
Jimmy Garoppolo,SF,QB,16,4966.5,25.3,13.2,74.8,2.2,0,0,0,0,0,0,0,ESPN
Le'Veon Bell,PIT,RB,16,0,0,0,1471.8,11,95.7,765.6,2.2,0,0,0,0,ESPN
Ben Roethlisberger,PIT,QB,16,4991.8,30.8,17.6,59.4,0,0,0,0,0,0,0,0,ESPN
Jameis Winston,TB,QB,16,4803.7,26.4,17.6,194.7,1.1,0,0,0,0,0,0,0,ESPN
Dak Prescott,DAL,QB,16,3874.2,24.2,14.3,353.1,4.4,0,0,0,0,0,0,0,ESPN
Matt Ryan,ATL,QB,16,4644.2,27.5,13.2,129.8,0,0,0,0,0,0,0,0,ESPN
Patrick Mahomes,KC,QB,16,4292.2,25.3,15.4,266.2,2.2,0,0,0,0,0,0,0,ESPN
Jared Goff,LAR,QB,16,4353.8,28.6,12.1,79.2,1.1,0,0,0,0,0,0,0,ESPN
Philip Rivers,LAC,QB,16,4761.9,28.6,15.4,41.8,0,0,0,0,0,0,0,0,ESPN
Marcus Mariota,TEN,QB,16,3895.1,24.2,17.6,403.7,3.3,0,0,0,0,0,0,0,ESPN
Blake Bortles,JAX,QB,16,4000.7,23.1,14.3,401.5,2.2,0,0,0,0,0,0,0,ESPN
