Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,Source
Aaron Rodgers,GB,QB,16,3956,33,10,320,2,0,0,0,0,0,0,0,FantasyData
Tom Brady,NE,QB,16,4706,32,9,36,1,0,0,0,0,0,0,0,FantasyData
Russell Wilson,SEA,QB,16,3832,26,14,510,3,0,0,0,0,0,0,0,FantasyData
Carson Wentz,PHI,QB,16,4069,30,12,286,1,0,0,0,0,0,0,0,FantasyData
Deshaun Watson,HOU,QB,16,3818,26,18,479,4,0,0,0,0,0,0,0,FantasyData
Cam Newton,CAR,QB,16,3560,23,16,601,4,0,0,0,0,0,0,0,FantasyData
Todd Gurley,LAR,RB,16,0,0,0,1352,11,64,661,4,0,0,0,0,FantasyData
Alex Smith,WAS,QB,16,4207,24,9,268,2,0,0,0,0,0,0,0,FantasyData
Drew Brees,NO,QB,16,4451,27,12,34,2,0,0,0,0,0,0,0,FantasyData
Kirk Cousins,MIN,QB,16,4142,25,13,169,3,0,0,0,0,0,0,0,FantasyData
Andrew Luck,IND,QB,16,3955,25,14,313,2,0,0,0,0,0,0,0,FantasyData
Matthew Stafford,DET,QB,16,4316,26,12,125,1,0,0,0,0,0,0,0,FantasyData
Jimmy Garoppolo,SF,QB,16,4515,23,12,68,2,0,0,0,0,0,0,0,FantasyData
Le'Veon Bell,PIT,RB,16,0,0,0,1338,10,87,696,2,0,0,0,0,FantasyData
Ben Roethlisberger,PIT,QB,16,4538,28,16,54,0,0,0,0,0,0,0,0,FantasyData
Jameis Winston,TB,QB,16,4367,24,16,177,1,0,0,0,0,0,0,0,FantasyData
Dak Prescott,DAL,QB,16,3522,22,13,321,4,0,0,0,0,0,0,0,FantasyData
Matt Ryan,ATL,QB,16,4222,25,12,118,0,0,0,0,0,0,0,0,FantasyData
Patrick Mahomes,KC,QB,16,3902,23,14,242,2,0,0,0,0,0,0,0,FantasyData
Jared Goff,LAR,QB,16,3958,26,11,72,1,0,0,0,0,0,0,0,FantasyData
Philip Rivers,LAC,QB,16,4329,26,14,38,0,0,0,0,0,0,0,0,FantasyData
Marcus Mariota,TEN,QB,16,3541,22,16,367,3,0,0,0,0,0,0,0,FantasyData
Blake Bortles,JAX,QB,16,3637,21,13,365,2,0,0,0,0,0,0,0,FantasyData
Mitch Trubisky,CHI,QB,16,3729,19,13,286,3,0,0,0,0,0,0,0,FantasyData
Tyrod Taylor,CLE,QB,16,3291,18,10,374,3,0,0,0,0,0,0,0,FantasyData
Ezekiel Elliott,DAL,RB,16,0,0,0,1369,9,39,383,2,0,0,0,0,FantasyData
Case Keenum,DEN,QB,16,4064,22,14,109,0,0,0,0,0,0,0,0,FantasyData
Ryan Tannehill,MIA,QB,16,3988,21,17,177,1,0,0,0,0,0,0,0,FantasyData
Alvin Kamara,NO,RB,16,0,0,0,900,8,73,726,4,0,0,0,0,FantasyData
Eli Manning,NYG,QB,16,4029,23,15,27,1,0,0,0,0,0,0,0,FantasyData
Derek Carr,OAK,QB,16,3853,23,13,76,0,0,0,0,0,0,0,0,FantasyData
David Johnson,ARI,RB,16,0,0,0,909,7,78,834,3,0,0,0,0,FantasyData
Andy Dalton,CIN,QB,16,3646,21,14,132,1,0,0,0,0,0,0,0,FantasyData
Saquon Barkley,NYG,RB,16,0,0,0,1126,8,61,426,2,0,0,0,0,FantasyData
Kareem Hunt,KC,RB,16,0,0,0,1077,9,53,417,2,0,0,0,0,FantasyData
Antonio Brown,PIT,WR,16,0,0,0,0,0,110,1575,8,0,0,0,0,FantasyData
Leonard Fournette,JAX,RB,16,0,0,0,1170,9,36,303,1,0,0,0,0,FantasyData
Melvin Gordon,LAC,RB,16,0,0,0,1029,7,52,438,3,0,0,0,0,FantasyData
Dalvin Cook,MIN,RB,16,0,0,0,1113,7,46,374,1,0,0,0,0,FantasyData
Julio Jones,ATL,WR,16,0,0,0,12,0,94,1480,7,0,0,0,0,FantasyData
Joe Flacco,BAL,QB,16,3290,19,14,52,1,0,0,0,0,0,0,0,FantasyData
Devonta Freeman,ATL,RB,16,0,0,0,953,8,45,384,2,0,0,0,0,FantasyData
Jerick McKinnon,SF,RB,16,0,0,0,881,7,61,493,2,0,0,0,0,FantasyData
DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,94,1325,9,0,0,0,0,FantasyData
Christian McCaffrey,CAR,RB,16,0,0,0,620,4,77,679,5,0,0,0,0,FantasyData
LeSean McCoy,BUF,RB,16,0,0,0,919,5,58,429,2,0,0,0,0,FantasyData
Keenan Allen,LAC,WR,16,0,0,0,12,0,101,1310,7,0,0,0,0,FantasyData
Michael Thomas,NO,WR,16,0,0,0,0,0,100,1261,8,0,0,0,0,FantasyData
Odell Beckham Jr,NYG,WR,16,0,0,0,20,0,99,1293,7,0,0,0,0,FantasyData
AJ Green,CIN,WR,16,0,0,0,0,0,89,1291,7,0,0,0,0,FantasyData
Josh Rosen,ARI,QB,16,2849,14,10,88,1,0,0,0,0,0,0,0,FantasyData
T.Y. Hilton,IND,WR,16,0,0,0,0,0,75,1235,7,0,0,0,0,FantasyData
Davante Adams,GB,WR,16,0,0,0,1,0,86,1080,9,0,0,0,0,FantasyData
Rob Gronkowski,NE,TE,16,0,0,0,0,0,72,1124,8,0,0,0,0,FantasyData
Jordan Howard,CHI,RB,16,0,0,0,929,7,27,202,1,0,0,0,0,FantasyData
Adam Thielen,MIN,WR,16,0,0,0,12,0,85,1185,7,0,0,0,0,FantasyData
Mike Evans,TB,WR,16,0,0,0,0,0,77,1070,8,0,0,0,0,FantasyData
Stephen Gostkowski,NE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Kenyan Drake,MIA,RB,16,0,0,0,798,6,42,304,1,0,0,0,0,FantasyData
Tyreek Hill,KC,WR,16,0,0,0,122,0,83,1075,5,0,0,0,0,FantasyData
Harrison Butker,KC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Joe Mixon,CIN,RB,16,0,0,0,771,6,37,334,1,0,0,0,0,FantasyData
Derrick Henry,TEN,RB,16,0,0,0,867,6,19,195,1,0,0,0,0,FantasyData
Robbie Gould,SF,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Allen Robinson,CHI,WR,16,0,0,0,0,0,71,1039,7,0,0,0,0,FantasyData
Jay Ajayi,PHI,RB,16,0,0,0,998,5,23,177,1,0,0,0,0,FantasyData
Doug Baldwin,SEA,WR,16,0,0,0,21,0,84,1071,6,0,0,0,0,FantasyData
Stefon Diggs,MIN,WR,16,0,0,0,47,0,82,1044,6,0,0,0,0,FantasyData
Greg Zuerlein,LAR,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Alshon Jeffery,PHI,WR,16,0,0,0,0,0,65,964,8,0,0,0,0,FantasyData
Alex Collins,BAL,RB,16,0,0,0,902,6,26,201,1,0,0,0,0,FantasyData
Josh Gordon,CLE,WR,16,0,0,0,11,0,69,1084,6,0,0,0,0,FantasyData
Tevin Coleman,ATL,RB,16,0,0,0,663,5,33,350,2,0,0,0,0,FantasyData
Demaryius Thomas,DEN,WR,16,0,0,0,0,0,91,1062,6,0,0,0,0,FantasyData
Chris Boswell,PIT,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Marvin Jones,DET,WR,16,0,0,0,0,0,58,931,7,0,0,0,0,FantasyData
Jake Elliott,PHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Juju Smith-Schuster,PIT,WR,16,0,0,0,0,0,75,987,6,0,0,0,0,FantasyData
Matt Bryant,ATL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Justin Tucker,BAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Amari Cooper,OAK,WR,16,0,0,0,12,0,76,1004,5,0,0,0,0,FantasyData
Travis Kelce,KC,TE,16,0,0,0,7,0,81,1005,5,0,0,0,0,FantasyData
Lamar Miller,HOU,RB,16,0,0,0,774,3,33,276,2,0,0,0,0,FantasyData
Wil Lutz,NO,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Sony Michel,NE,RB,16,0,0,0,651,6,30,254,1,0,0,0,0,FantasyData
Zach Ertz,PHI,TE,16,0,0,0,0,0,81,884,7,0,0,0,0,FantasyData
Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,103,1042,5,0,0,0,0,FantasyData
Jacksonville Jaguars,JAX,DST,16,0,0,0,0,0,0,0,0,51,17,15,15,FantasyData
Mark Ingram,NO,RB,16,0,0,0,707,5,36,256,1,0,0,0,0,FantasyData
Dion Lewis,TEN,RB,16,0,0,0,688,4,35,249,2,0,0,0,0,FantasyData
Royce Freeman,DEN,RB,16,0,0,0,762,4,29,230,1,0,0,0,0,FantasyData
Kai Forbath,MIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Emmanuel Sanders,DEN,WR,16,0,0,0,0,0,73,948,5,0,0,0,0,FantasyData
Chris Hogan,NE,WR,16,0,0,0,24,0,57,861,6,0,0,0,0,FantasyData
Graham Gano,CAR,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Sammy Watkins,KC,WR,16,0,0,0,0,0,60,939,5,0,0,0,0,FantasyData
Devin Funchess,CAR,WR,16,0,0,0,0,0,60,877,6,0,0,0,0,FantasyData
Julian Edelman,NE,WR,16,0,0,0,30,0,78,926,5,0,0,0,0,FantasyData
Rex Burkhead,NE,RB,16,0,0,0,541,6,25,231,2,0,0,0,0,FantasyData
Pittsburgh Steelers,PIT,DST,16,0,0,0,0,0,0,0,0,49,16,10,11,FantasyData
Baltimore Ravens,BAL,DST,16,0,0,0,0,0,0,0,0,39,19,15,15,FantasyData
Golden Tate,DET,WR,16,0,0,0,28,0,89,990,4,0,0,0,0,FantasyData
Brandin Cooks,LAR,WR,16,0,0,0,46,0,59,891,5,0,0,0,0,FantasyData
Pierre Garcon,SF,WR,16,0,0,0,0,0,76,976,4,0,0,0,0,FantasyData
Greg Olsen,CAR,TE,16,0,0,0,0,0,68,914,5,0,0,0,0,FantasyData
Los Angeles Chargers,LAC,DST,16,0,0,0,0,0,0,0,0,45,16,11,14,FantasyData
Matt Prater,DET,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Josh Lambo,JAX,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Rashaad Penny,SEA,RB,16,0,0,0,695,4,28,222,1,0,0,0,0,FantasyData
Marshawn Lynch,OAK,RB,16,0,0,0,749,6,16,126,0,0,0,0,0,FantasyData
Ryan Succop,TEN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Philadelphia Eagles,PHI,DST,16,0,0,0,0,0,0,0,0,32,16,12,18,FantasyData
Delanie Walker,TEN,TE,16,0,0,0,0,0,70,819,6,0,0,0,0,FantasyData
Marquise Goodwin,SF,WR,16,0,0,0,23,0,52,853,5,0,0,0,0,FantasyData
Chris Thompson,WAS,RB,16,0,0,0,348,2,55,568,3,0,0,0,0,FantasyData
Kelvin Benjamin,BUF,WR,16,0,0,0,0,0,66,915,4,0,0,0,0,FantasyData
Denver Broncos,DEN,DST,16,0,0,0,0,0,0,0,0,42,16,8,11,FantasyData
Randall Cobb,GB,WR,16,0,0,0,66,0,73,784,5,0,0,0,0,FantasyData
Dan Bailey,DAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Adam Vinatieri,IND,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Brandon McManus,DEN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Washington Redskins,WAS,DST,16,0,0,0,0,0,0,0,0,41,16,12,11,FantasyData
Daniel Carlson,MIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Devante Parker,MIA,WR,16,0,0,0,0,0,65,834,5,0,0,0,0,FantasyData
Jarvis Landry,CLE,WR,16,0,0,0,10,0,90,902,5,0,0,0,0,FantasyData
Carolina Panthers,CAR,DST,16,0,0,0,0,0,0,0,0,49,12,14,16,FantasyData
Mason Crosby,GB,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Ka'imi Fairbairn,HOU,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
DeSean Jackson,TB,WR,16,0,0,0,23,0,53,865,4,0,0,0,0,FantasyData
Cooper Kupp,LAR,WR,16,0,0,0,0,0,67,846,5,0,0,0,0,FantasyData
Michael Crabtree,BAL,WR,16,0,0,0,0,0,77,824,5,0,0,0,0,FantasyData
Robert Woods,LAR,WR,16,0,0,0,12,0,70,890,4,0,0,0,0,FantasyData
Los Angeles Rams,LAR,DST,16,0,0,0,0,0,0,0,0,50,13,18,6,FantasyData
Evan Engram,NYG,TE,16,0,0,0,0,0,69,758,6,0,0,0,0,FantasyData
Corey Davis,TEN,WR,16,0,0,0,0,0,68,844,5,0,0,0,0,FantasyData
Will Fuller,HOU,WR,16,0,0,0,28,0,54,774,5,0,0,0,0,FantasyData
Dustin Hopkins,WAS,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Josh Doctson,WAS,WR,16,0,0,0,0,0,52,753,6,0,0,0,0,FantasyData
Green Bay Packers,GB,DST,16,0,0,0,0,0,0,0,0,47,12,10,14,FantasyData
James White,NE,RB,16,0,0,0,321,3,53,426,3,0,0,0,0,FantasyData
Kenny Stills,MIA,WR,16,0,0,0,0,0,60,887,4,0,0,0,0,FantasyData
Marqise Lee,JAX,WR,16,0,0,0,28,0,63,816,4,0,0,0,0,FantasyData
Kenny Golladay,DET,WR,16,0,0,0,0,0,52,783,5,0,0,0,0,FantasyData
New Orleans Saints,NO,DST,16,0,0,0,0,0,0,0,0,33,17,16,11,FantasyData
Phil Dawson,ARI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Rishard Matthews,TEN,WR,16,0,0,0,0,0,59,836,4,0,0,0,0,FantasyData
Sebastian Janikowski,SEA,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Chandler Catanzaro,TB,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Houston Texans,HOU,DST,16,0,0,0,0,0,0,0,0,41,15,11,11,FantasyData
Tennessee Titans,TEN,DST,16,0,0,0,0,0,0,0,0,39,15,9,13,FantasyData
Chicago Bears,CHI,DST,16,0,0,0,0,0,0,0,0,47,12,12,17,FantasyData
Isaiah Crowell,NYJ,RB,16,0,0,0,642,3,30,212,1,0,0,0,0,FantasyData
Caleb Sturgis,LAC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Sterling Shepard,NYG,WR,16,0,0,0,26,0,68,779,4,0,0,0,0,FantasyData
Kansas City Chiefs,KC,DST,16,0,0,0,0,0,0,0,0,25,17,12,15,FantasyData
Minnesota Vikings,MIN,DST,16,0,0,0,0,0,0,0,0,39,15,5,11,FantasyData
Jordy Nelson,OAK,WR,16,0,0,0,0,0,65,760,5,0,0,0,0,FantasyData
Robby Anderson,NYJ,WR,16,0,0,0,24,0,59,833,3,0,0,0,0,FantasyData
Jordan Reed,WAS,TE,16,0,0,0,0,0,72,733,5,0,0,0,0,FantasyData
Jimmy Graham,GB,TE,16,0,0,0,0,0,52,612,7,0,0,0,0,FantasyData
Kyle Rudolph,MIN,TE,16,0,0,0,0,0,60,611,7,0,0,0,0,FantasyData
New England Patriots,NE,DST,16,0,0,0,0,0,0,0,0,41,14,8,10,FantasyData
Jack Doyle,IND,TE,16,0,0,0,0,0,73,666,6,0,0,0,0,FantasyData
Arizona Cardinals,ARI,DST,16,0,0,0,0,0,0,0,0,37,14,17,13,FantasyData
Tarik Cohen,CHI,RB,16,0,0,0,346,2,66,484,2,0,0,0,0,FantasyData
Derrius Guice,WAS,RB,16,0,0,0,549,5,17,140,1,0,0,0,0,FantasyData
Devontae Booker,DEN,RB,16,0,0,0,486,3,35,316,1,0,0,0,0,FantasyData
Dallas Cowboys,DAL,DST,16,0,0,0,0,0,0,0,0,36,12,19,16,FantasyData
Giorgio Tavecchio,OAK,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Mohamed Sanu,ATL,WR,16,0,0,0,23,0,64,734,4,0,0,0,0,FantasyData
Nelson Agholor,PHI,WR,16,0,0,0,49,0,60,707,4,0,0,0,0,FantasyData
Allen Hurns,DAL,WR,16,0,0,0,0,0,56,755,4,0,0,0,0,FantasyData
Marlon Mack,IND,RB,16,0,0,0,498,4,21,213,1,0,0,0,0,FantasyData
Atlanta Falcons,ATL,DST,16,0,0,0,0,0,0,0,0,35,12,13,16,FantasyData
Jamaal Williams,GB,RB,16,0,0,0,485,3,22,218,2,0,0,0,0,FantasyData
Seattle Seahawks,SEA,DST,16,0,0,0,0,0,0,0,0,34,13,11,14,FantasyData
Matt Breida,SF,RB,16,0,0,0,575,4,16,137,1,0,0,0,0,FantasyData
Jamison Crowder,WAS,WR,16,0,0,0,42,0,69,820,3,0,0,0,0,FantasyData
Detroit Lions,DET,DST,16,0,0,0,0,0,0,0,0,33,13,15,13,FantasyData
Steven Hauschka,BUF,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Ronald Jones II,TB,RB,16,0,0,0,566,3,22,187,1,0,0,0,0,FantasyData
Kerryon Johnson,DET,RB,16,0,0,0,471,4,28,221,1,0,0,0,0,FantasyData
AJ McCarron,BUF,QB,16,1709,8,6,67,0,0,0,0,0,0,0,0,FantasyData
Oakland Raiders,OAK,DST,16,0,0,0,0,0,0,0,0,33,12,9,14,FantasyData
Miami Dolphins,MIA,DST,16,0,0,0,0,0,0,0,0,34,13,9,11,FantasyData
Aaron Jones,GB,RB,16,0,0,0,578,4,12,79,1,0,0,0,0,FantasyData
Duke Johnson,CLE,RB,16,0,0,0,269,2,52,485,2,0,0,0,0,FantasyData
Cincinnati Bengals,CIN,DST,16,0,0,0,0,0,0,0,0,36,16,4,7,FantasyData
San Francisco 49ers,SF,DST,16,0,0,0,0,0,0,0,0,31,13,13,12,FantasyData
Indianapolis Colts,IND,DST,16,0,0,0,0,0,0,0,0,28,14,9,13,FantasyData
Jason Sanders,MIA,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
D'Onta Foreman,HOU,RB,16,0,0,0,624,4,11,101,0,0,0,0,0,FantasyData
Martavis Bryant,OAK,WR,16,0,0,0,24,0,48,657,4,0,0,0,0,FantasyData
Tyler Lockett,SEA,WR,16,0,0,0,83,0,47,654,3,0,0,0,0,FantasyData
Josh McCown,NYJ,QB,16,1678,8,7,62,0,0,0,0,0,0,0,0,FantasyData
Tampa Bay Buccaneers,TB,DST,16,0,0,0,0,0,0,0,0,25,13,17,16,FantasyData
Buffalo Bills,BUF,DST,16,0,0,0,0,0,0,0,0,32,15,14,10,FantasyData
Paul Richardson,WAS,WR,16,0,0,0,0,0,51,728,3,0,0,0,0,FantasyData
Kenneth Dixon,BAL,RB,16,0,0,0,498,3,30,168,1,0,0,0,0,FantasyData
Jason Myers,SEA,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Aldrick Rosas,NYG,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Calvin Ridley,ATL,WR,16,0,0,0,28,0,51,686,3,0,0,0,0,FantasyData
Cairo Santos,NYJ,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Zane Gonzalez,CLE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Cameron Meredith,NO,WR,16,0,0,0,0,0,51,667,4,0,0,0,0,FantasyData
Bilal Powell,NYJ,RB,16,0,0,0,516,3,30,209,0,0,0,0,0,FantasyData
Terrance Williams,DAL,WR,16,0,0,0,13,0,48,662,3,0,0,0,0,FantasyData
CJ Anderson,CAR,RB,16,0,0,0,544,3,10,87,1,0,0,0,0,FantasyData
New York Jets,NYJ,DST,16,0,0,0,0,0,0,0,0,33,14,9,12,FantasyData
Randy Bullock,CIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Nick Chubb,CLE,RB,16,0,0,0,490,3,20,153,1,0,0,0,0,FantasyData
Carlos Hyde,CLE,RB,16,0,0,0,511,3,24,145,1,0,0,0,0,FantasyData
Mike Wallace,PHI,WR,16,0,0,0,0,0,43,590,4,0,0,0,0,FantasyData
Ted Ginn,NO,WR,16,0,0,0,54,0,41,616,3,0,0,0,0,FantasyData
Cody Parkey,CHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyData
Tyler Eifert,CIN,TE,16,0,0,0,0,0,50,577,4,0,0,0,0,FantasyData
David Njoku,CLE,TE,16,0,0,0,0,0,44,515,5,0,0,0,0,FantasyData
D.J. Moore,CAR,WR,16,0,0,0,36,0,41,559,4,0,0,0,0,FantasyData
Charles Clay,BUF,TE,16,0,0,0,0,0,61,634,3,0,0,0,0,FantasyData
Ryan Grant,IND,WR,16,0,0,0,0,0,46,571,4,0,0,0,0,FantasyData
New York Giants,NYG,DST,16,0,0,0,0,0,0,0,0,29,14,12,12,FantasyData
Albert Wilson,MIA,WR,16,0,0,0,11,0,52,618,3,0,0,0,0,FantasyData
Hayden Hurst,BAL,TE,16,0,0,0,0,0,63,568,4,0,0,0,0,FantasyData
Sam Bradford,ARI,QB,16,1469,7,4,19,0,0,0,0,0,0,0,0,FantasyData
Austin Ekeler,LAC,RB,16,0,0,0,386,2,28,276,2,0,0,0,0,FantasyData
Cleveland Browns,CLE,DST,16,0,0,0,0,0,0,0,0,33,13,11,9,FantasyData
Jordan Matthews,NE,WR,16,0,0,0,0,0,51,598,4,0,0,0,0,FantasyData
Trey Burton,CHI,TE,16,0,0,0,0,0,50,558,4,0,0,0,0,FantasyData
Zay Jones,BUF,WR,16,0,0,0,0,0,48,616,3,0,0,0,0,FantasyData
Tyrell Williams,LAC,WR,16,0,0,0,0,0,39,624,3,0,0,0,0,FantasyData
Latavius Murray,MIN,RB,16,0,0,0,463,4,13,98,0,0,0,0,0,FantasyData
Cameron Brate,TB,TE,16,0,0,0,0,0,45,541,4,0,0,0,0,FantasyData
Corey Clement,PHI,RB,16,0,0,0,314,4,17,204,1,0,0,0,0,FantasyData
George Kittle,SF,TE,16,0,0,0,0,0,46,536,4,0,0,0,0,FantasyData
Nyheim Hines,IND,RB,16,0,0,0,301,3,31,247,1,0,0,0,0,FantasyData
Brandon LaFell,CIN,WR,16,0,0,0,0,0,48,584,3,0,0,0,0,FantasyData
Ty Montgomery,GB,RB,16,0,0,0,298,2,41,301,1,0,0,0,0,FantasyData
Vance McDonald,PIT,TE,16,0,0,0,0,0,43,519,4,0,0,0,0,FantasyData
Eric Ebron,IND,TE,16,0,0,0,0,0,46,516,4,0,0,0,0,FantasyData
Jared Cook,OAK,TE,16,0,0,0,0,0,47,568,3,0,0,0,0,FantasyData
Austin Seferian-Jenkins,JAX,TE,16,0,0,0,0,0,46,508,4,0,0,0,0,FantasyData
Spencer Ware,KC,RB,16,0,0,0,393,3,12,146,1,0,0,0,0,FantasyData
Austin Hooper,ATL,TE,16,0,0,0,0,0,45,497,4,0,0,0,0,FantasyData
Giovani Bernard,CIN,RB,16,0,0,0,348,2,27,238,1,0,0,0,0,FantasyData
Ricky Seals-Jones,ARI,TE,16,0,0,0,0,0,41,546,3,0,0,0,0,FantasyData
Willie Snead,BAL,WR,16,0,0,0,0,0,51,612,2,0,0,0,0,FantasyData
Chris Carson,SEA,RB,16,0,0,0,445,2,13,105,1,0,0,0,0,FantasyData
Darren Sproles,PHI,RB,16,0,0,0,302,2,31,287,1,0,0,0,0,FantasyData
Benjamin Watson,NO,TE,16,0,0,0,0,0,46,469,4,0,0,0,0,FantasyData
Frank Gore,MIA,RB,16,0,0,0,400,1,27,198,1,0,0,0,0,FantasyData
Quincy Enunwa,NYJ,WR,16,0,0,0,0,0,43,576,2,0,0,0,0,FantasyData
Mike Williams,LAC,WR,16,0,0,0,0,0,38,453,4,0,0,0,0,FantasyData
Theo Riddick,DET,RB,16,0,0,0,167,1,48,372,2,0,0,0,0,FantasyData
Brandon Marshall,SEA,WR,16,0,0,0,0,0,34,436,4,0,0,0,0,FantasyData
John Brown,BAL,WR,16,0,0,0,13,0,38,540,2,0,0,0,0,FantasyData
Travis Benjamin,LAC,WR,16,0,0,0,82,0,31,482,2,0,0,0,0,FantasyData
Doug Martin,OAK,RB,16,0,0,0,449,3,9,72,0,0,0,0,0,FantasyData
Sam Darnold,NYJ,QB,16,1194,7,7,40,0,0,0,0,0,0,0,0,FantasyData
Terrelle Pryor,NYJ,WR,16,0,0,0,12,0,39,519,2,0,0,0,0,FantasyData
Peyton Barber,TB,RB,16,0,0,0,452,3,7,56,0,0,0,0,0,FantasyData
Tre'Quan Smith,NO,WR,16,0,0,0,0,0,39,488,3,0,0,0,0,FantasyData
LeGarrette Blount,DET,RB,16,0,0,0,402,4,6,43,0,0,0,0,0,FantasyData
Donte Moncrief,JAX,WR,16,0,0,0,0,0,36,458,3,0,0,0,0,FantasyData
Dede Westbrook,JAX,WR,16,0,0,0,0,0,39,517,2,0,0,0,0,FantasyData
Kendall Wright,MIN,WR,16,0,0,0,0,0,43,514,2,0,0,0,0,FantasyData
Jermaine Kearse,NYJ,WR,16,0,0,0,0,0,40,509,2,0,0,0,0,FantasyData
OJ Howard,TB,TE,16,0,0,0,0,0,33,444,3,0,0,0,0,FantasyData
Elijah McGuire,NYJ,RB,16,0,0,0,300,2,18,178,1,0,0,0,0,FantasyData
Ryan Griffin,HOU,TE,16,0,0,0,0,0,39,429,3,0,0,0,0,FantasyData
Danny Amendola,MIA,WR,16,0,0,0,22,0,45,478,2,0,0,0,0,FantasyData
