Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,Source
Aaron Rodgers,GB,QB,16,5221.92,43.56,13.2,422.4,2.64,0,0,0,0,0,0,0,FantasyPros
Tom Brady,NE,QB,16,6211.92,42.24,11.88,47.52,1.32,0,0,0,0,0,0,0,FantasyPros
Russell Wilson,SEA,QB,16,5058.24,34.32,18.48,673.2,3.96,0,0,0,0,0,0,0,FantasyPros
Carson Wentz,PHI,QB,16,5371.08,39.6,15.84,377.52,1.32,0,0,0,0,0,0,0,FantasyPros
Deshaun Watson,HOU,QB,16,5039.76,34.32,23.76,632.28,5.28,0,0,0,0,0,0,0,FantasyPros
Cam Newton,CAR,QB,16,4699.2,30.36,21.12,793.32,5.28,0,0,0,0,0,0,0,FantasyPros
Todd Gurley,LAR,RB,16,0,0,0,1784.64,14.52,84.48,872.52,5.28,0,0,0,0,FantasyPros
Alex Smith,WAS,QB,16,5553.24,31.68,11.88,353.76,2.64,0,0,0,0,0,0,0,FantasyPros
Drew Brees,NO,QB,16,5875.32,35.64,15.84,44.88,2.64,0,0,0,0,0,0,0,FantasyPros
Kirk Cousins,MIN,QB,16,5467.44,33,17.16,223.08,3.96,0,0,0,0,0,0,0,FantasyPros
Andrew Luck,IND,QB,16,5220.6,33,18.48,413.16,2.64,0,0,0,0,0,0,0,FantasyPros
Matthew Stafford,DET,QB,16,5697.12,34.32,15.84,165,1.32,0,0,0,0,0,0,0,FantasyPros
Jimmy Garoppolo,SF,QB,16,5959.8,30.36,15.84,89.76,2.64,0,0,0,0,0,0,0,FantasyPros
Le'Veon Bell,PIT,RB,16,0,0,0,1766.16,13.2,114.84,918.72,2.64,0,0,0,0,FantasyPros
Ben Roethlisberger,PIT,QB,16,5990.16,36.96,21.12,71.28,0,0,0,0,0,0,0,0,FantasyPros
Jameis Winston,TB,QB,16,5764.44,31.68,21.12,233.64,1.32,0,0,0,0,0,0,0,FantasyPros
Dak Prescott,DAL,QB,16,4649.04,29.04,17.16,423.72,5.28,0,0,0,0,0,0,0,FantasyPros
Matt Ryan,ATL,QB,16,5573.04,33,15.84,155.76,0,0,0,0,0,0,0,0,FantasyPros
Patrick Mahomes,KC,QB,16,5150.64,30.36,18.48,319.44,2.64,0,0,0,0,0,0,0,FantasyPros
Jared Goff,LAR,QB,16,5224.56,34.32,14.52,95.04,1.32,0,0,0,0,0,0,0,FantasyPros
Philip Rivers,LAC,QB,16,5714.28,34.32,18.48,50.16,0,0,0,0,0,0,0,0,FantasyPros
Marcus Mariota,TEN,QB,16,4674.12,29.04,21.12,484.44,3.96,0,0,0,0,0,0,0,FantasyPros
Blake Bortles,JAX,QB,16,4800.84,27.72,17.16,481.8,2.64,0,0,0,0,0,0,0,FantasyPros
Mitch Trubisky,CHI,QB,16,4922.28,25.08,17.16,377.52,3.96,0,0,0,0,0,0,0,FantasyPros
Tyrod Taylor,CLE,QB,16,4344.12,23.76,13.2,493.68,3.96,0,0,0,0,0,0,0,FantasyPros
Ezekiel Elliott,DAL,RB,16,0,0,0,1807.08,11.88,51.48,505.56,2.64,0,0,0,0,FantasyPros
Case Keenum,DEN,QB,16,5364.48,29.04,18.48,143.88,0,0,0,0,0,0,0,0,FantasyPros
Ryan Tannehill,MIA,QB,16,5264.16,27.72,22.44,233.64,1.32,0,0,0,0,0,0,0,FantasyPros
Alvin Kamara,NO,RB,16,0,0,0,1188,10.56,96.36,958.32,5.28,0,0,0,0,FantasyPros
Eli Manning,NYG,QB,16,5318.28,30.36,19.8,35.64,1.32,0,0,0,0,0,0,0,FantasyPros
Derek Carr,OAK,QB,16,5085.96,30.36,17.16,100.32,0,0,0,0,0,0,0,0,FantasyPros
David Johnson,ARI,RB,16,0,0,0,1199.88,9.24,102.96,1100.88,3.96,0,0,0,0,FantasyPros
Andy Dalton,CIN,QB,16,4812.72,27.72,18.48,174.24,1.32,0,0,0,0,0,0,0,FantasyPros
Saquon Barkley,NYG,RB,16,0,0,0,1486.32,10.56,80.52,562.32,2.64,0,0,0,0,FantasyPros
Kareem Hunt,KC,RB,16,0,0,0,1421.64,11.88,69.96,550.44,2.64,0,0,0,0,FantasyPros
Antonio Brown,PIT,WR,16,0,0,0,0,0,145.2,2079,10.56,0,0,0,0,FantasyPros
Leonard Fournette,JAX,RB,16,0,0,0,1544.4,11.88,47.52,399.96,1.32,0,0,0,0,FantasyPros
Melvin Gordon,LAC,RB,16,0,0,0,1358.28,9.24,68.64,578.16,3.96,0,0,0,0,FantasyPros
Dalvin Cook,MIN,RB,16,0,0,0,1469.16,9.24,60.72,493.68,1.32,0,0,0,0,FantasyPros
Julio Jones,ATL,WR,16,0,0,0,15.84,0,124.08,1953.6,9.24,0,0,0,0,FantasyPros
Joe Flacco,BAL,QB,16,4342.8,25.08,18.48,68.64,1.32,0,0,0,0,0,0,0,FantasyPros
Devonta Freeman,ATL,RB,16,0,0,0,1257.96,10.56,59.4,506.88,2.64,0,0,0,0,FantasyPros
Jerick McKinnon,SF,RB,16,0,0,0,1162.92,9.24,80.52,650.76,2.64,0,0,0,0,FantasyPros
DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,124.08,1749,11.88,0,0,0,0,FantasyPros
Christian McCaffrey,CAR,RB,16,0,0,0,818.4,5.28,101.64,896.28,6.6,0,0,0,0,FantasyPros
LeSean McCoy,BUF,RB,16,0,0,0,1213.08,6.6,76.56,566.28,2.64,0,0,0,0,FantasyPros
Keenan Allen,LAC,WR,16,0,0,0,15.84,0,133.32,1729.2,9.24,0,0,0,0,FantasyPros
Michael Thomas,NO,WR,16,0,0,0,0,0,132,1664.52,10.56,0,0,0,0,FantasyPros
Odell Beckham Jr,NYG,WR,16,0,0,0,26.4,0,130.68,1706.76,9.24,0,0,0,0,FantasyPros
AJ Green,CIN,WR,16,0,0,0,0,0,117.48,1704.12,9.24,0,0,0,0,FantasyPros
Josh Rosen,ARI,QB,16,3760.68,18.48,13.2,116.16,1.32,0,0,0,0,0,0,0,FantasyPros
T.Y. Hilton,IND,WR,16,0,0,0,0,0,99,1630.2,9.24,0,0,0,0,FantasyPros
Davante Adams,GB,WR,16,0,0,0,1.32,0,113.52,1425.6,11.88,0,0,0,0,FantasyPros
Rob Gronkowski,NE,TE,16,0,0,0,0,0,95.04,1483.68,10.56,0,0,0,0,FantasyPros
Jordan Howard,CHI,RB,16,0,0,0,1226.28,9.24,35.64,266.64,1.32,0,0,0,0,FantasyPros
Adam Thielen,MIN,WR,16,0,0,0,15.84,0,112.2,1564.2,9.24,0,0,0,0,FantasyPros
Mike Evans,TB,WR,16,0,0,0,0,0,101.64,1412.4,10.56,0,0,0,0,FantasyPros
Stephen Gostkowski,NE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Kenyan Drake,MIA,RB,16,0,0,0,1053.36,7.92,55.44,401.28,1.32,0,0,0,0,FantasyPros
Tyreek Hill,KC,WR,16,0,0,0,161.04,0,109.56,1419,6.6,0,0,0,0,FantasyPros
Harrison Butker,KC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Joe Mixon,CIN,RB,16,0,0,0,1017.72,7.92,48.84,440.88,1.32,0,0,0,0,FantasyPros
Derrick Henry,TEN,RB,16,0,0,0,1144.44,7.92,25.08,257.4,1.32,0,0,0,0,FantasyPros
Robbie Gould,SF,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Allen Robinson,CHI,WR,16,0,0,0,0,0,93.72,1371.48,9.24,0,0,0,0,FantasyPros
Jay Ajayi,PHI,RB,16,0,0,0,1317.36,6.6,30.36,233.64,1.32,0,0,0,0,FantasyPros
Doug Baldwin,SEA,WR,16,0,0,0,27.72,0,110.88,1413.72,7.92,0,0,0,0,FantasyPros
Stefon Diggs,MIN,WR,16,0,0,0,62.04,0,108.24,1378.08,7.92,0,0,0,0,FantasyPros
Greg Zuerlein,LAR,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Alshon Jeffery,PHI,WR,16,0,0,0,0,0,85.8,1272.48,10.56,0,0,0,0,FantasyPros
Alex Collins,BAL,RB,16,0,0,0,1190.64,7.92,34.32,265.32,1.32,0,0,0,0,FantasyPros
Josh Gordon,CLE,WR,16,0,0,0,14.52,0,91.08,1430.88,7.92,0,0,0,0,FantasyPros
Tevin Coleman,ATL,RB,16,0,0,0,875.16,6.6,43.56,462,2.64,0,0,0,0,FantasyPros
Demaryius Thomas,DEN,WR,16,0,0,0,0,0,120.12,1401.84,7.92,0,0,0,0,FantasyPros
Chris Boswell,PIT,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Marvin Jones,DET,WR,16,0,0,0,0,0,76.56,1228.92,9.24,0,0,0,0,FantasyPros
Jake Elliott,PHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Juju Smith-Schuster,PIT,WR,16,0,0,0,0,0,99,1302.84,7.92,0,0,0,0,FantasyPros
Matt Bryant,ATL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Justin Tucker,BAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Amari Cooper,OAK,WR,16,0,0,0,15.84,0,100.32,1325.28,6.6,0,0,0,0,FantasyPros
Travis Kelce,KC,TE,16,0,0,0,9.24,0,106.92,1326.6,6.6,0,0,0,0,FantasyPros
Lamar Miller,HOU,RB,16,0,0,0,1021.68,3.96,43.56,364.32,2.64,0,0,0,0,FantasyPros
Wil Lutz,NO,K,16,0,0,0,0,0,0,0,0,0,0,0,0,FantasyPros
Sony Michel,NE,RB,16,0,0,0,859.32,7.92,39.6,335.28,1.32,0,0,0,0,FantasyPros
